"Sex"	"age_group"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
2	"0-59"	Colorectum	1994	3.00	3.09	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1995	2.97	2.96	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1996	2.84	2.84	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1997	2.60	2.73	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1998	2.62	2.62	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1999	2.48	2.51	NA	-4.0358*	3	3
2	"0-59"	Colorectum	2000	2.49	2.41	NA	-4.0358*	3	3
2	"0-59"	Colorectum	2001	2.33	2.32	NA	-4.0358*	3	3
2	"0-59"	Colorectum	2002	2.17	2.22	Joinpoint 3	NA	3	3
2	"0-59"	Colorectum	2003	2.37	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2004	2.10	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2005	2.24	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2006	2.31	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2007	2.32	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2008	2.25	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2009	2.29	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2010	2.16	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2011	2.01	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2012	2.31	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2013	2.09	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2014	2.09	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2015	2.33	2.22	NA	-0.0049	3	3
2	"0-59"	Colorectum	2016	2.37	2.22	NA	-0.0049	3	3
1	"60-85"	Colorectum	1955	180.68	181.22	NA	-2.7766*	4	4
1	"60-85"	Colorectum	1956	176.51	176.19	NA	-2.7766*	4	4
1	"60-85"	Colorectum	1957	171.42	171.30	NA	-2.7766*	4	4
1	"60-85"	Colorectum	1958	166.97	166.54	NA	-2.7766*	4	4
1	"60-85"	Colorectum	1959	162.00	161.92	NA	-2.7766*	4	4
1	"60-85"	Colorectum	1960	158.91	157.42	Joinpoint 1	NA	4	4
1	"60-85"	Colorectum	1961	158.07	157.19	NA	-0.1477	4	4
1	"60-85"	Colorectum	1962	158.42	156.96	NA	-0.1477	4	4
1	"60-85"	Colorectum	1963	155.91	156.73	NA	-0.1477	4	4
1	"60-85"	Colorectum	1964	154.81	156.50	NA	-0.1477	4	4
1	"60-85"	Colorectum	1965	150.11	156.26	NA	-0.1477	4	4
1	"60-85"	Colorectum	1966	155.93	156.03	NA	-0.1477	4	4
1	"60-85"	Colorectum	1967	155.26	155.80	NA	-0.1477	4	4
1	"60-85"	Colorectum	1968	159.89	155.57	NA	-0.1477	4	4
1	"60-85"	Colorectum	1969	156.10	155.34	NA	-0.1477	4	4
1	"60-85"	Colorectum	1970	156.84	155.11	NA	-0.1477	4	4
1	"60-85"	Colorectum	1971	154.30	154.89	NA	-0.1477	4	4
1	"60-85"	Colorectum	1972	154.49	154.66	NA	-0.1477	4	4
1	"60-85"	Colorectum	1973	153.41	154.43	NA	-0.1477	4	4
1	"60-85"	Colorectum	1974	154.62	154.20	NA	-0.1477	4	4
1	"60-85"	Colorectum	1975	152.46	153.97	NA	-0.1477	4	4
1	"60-85"	Colorectum	1976	156.55	153.74	Joinpoint 2	NA	4	4
1	"60-85"	Colorectum	1977	151.49	151.53	NA	-1.4429*	4	4
1	"60-85"	Colorectum	1978	146.35	149.34	NA	-1.4429*	4	4
1	"60-85"	Colorectum	1979	148.18	147.19	NA	-1.4429*	4	4
1	"60-85"	Colorectum	1980	145.32	145.06	NA	-1.4429*	4	4
1	"60-85"	Colorectum	1981	143.72	142.97	Joinpoint 3	NA	4	4
1	"60-85"	Colorectum	1982	139.63	143.45	NA	0.3391	4	4
1	"60-85"	Colorectum	1983	142.73	143.94	NA	0.3391	4	4
1	"60-85"	Colorectum	1984	150.55	144.43	NA	0.3391	4	4
1	"60-85"	Colorectum	1985	147.02	144.92	NA	0.3391	4	4
1	"60-85"	Colorectum	1986	144.79	145.41	NA	0.3391	4	4
1	"60-85"	Colorectum	1987	144.44	145.90	NA	0.3391	4	4
1	"60-85"	Colorectum	1988	145.06	146.40	NA	0.3391	4	4
1	"60-85"	Colorectum	1989	146.42	146.89	NA	0.3391	4	4
1	"60-85"	Colorectum	1990	148.01	147.39	Joinpoint 4	NA	4	4
1	"60-85"	Colorectum	1991	143.88	144.41	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1992	148.76	141.49	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1993	137.49	138.63	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1994	133.74	135.83	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1995	132.66	133.09	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1996	129.06	130.40	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1997	127.67	127.76	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1998	125.23	125.18	NA	-2.0209*	4	4
1	"60-85"	Colorectum	1999	120.05	122.65	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2000	118.77	120.17	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2001	116.54	117.74	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2002	114.87	115.36	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2003	113.66	113.03	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2004	113.05	110.75	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2005	109.71	108.51	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2006	105.17	106.32	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2007	103.08	104.17	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2008	104.33	102.06	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2009	100.31	100.00	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2010	99.04	97.98	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2011	95.02	96.00	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2012	95.24	94.06	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2013	91.90	92.16	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2014	89.26	90.30	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2015	87.84	88.47	NA	-2.0209*	4	4
1	"60-85"	Colorectum	2016	87.24	86.68	NA	-2.0209*	4	4
2	"60-85"	Colorectum	1955	134.21	132.92	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1956	129.89	130.72	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1957	126.57	128.55	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1958	126.46	126.42	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1959	127.39	124.32	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1960	121.24	122.26	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1961	119.12	120.23	NA	-1.6584*	5	5
2	"60-85"	Colorectum	1962	118.67	118.24	Joinpoint 1	NA	5	5
2	"60-85"	Colorectum	1963	118.32	118.02	NA	-0.1873	5	5
2	"60-85"	Colorectum	1964	118.31	117.80	NA	-0.1873	5	5
2	"60-85"	Colorectum	1965	117.88	117.58	NA	-0.1873	5	5
2	"60-85"	Colorectum	1966	114.69	117.36	NA	-0.1873	5	5
2	"60-85"	Colorectum	1967	115.10	117.14	NA	-0.1873	5	5
2	"60-85"	Colorectum	1968	119.52	116.92	NA	-0.1873	5	5
2	"60-85"	Colorectum	1969	118.34	116.70	NA	-0.1873	5	5
2	"60-85"	Colorectum	1970	119.21	116.48	NA	-0.1873	5	5
2	"60-85"	Colorectum	1971	114.60	116.26	NA	-0.1873	5	5
2	"60-85"	Colorectum	1972	116.01	116.05	NA	-0.1873	5	5
2	"60-85"	Colorectum	1973	113.98	115.83	NA	-0.1873	5	5
2	"60-85"	Colorectum	1974	115.52	115.61	NA	-0.1873	5	5
2	"60-85"	Colorectum	1975	116.10	115.39	NA	-0.1873	5	5
2	"60-85"	Colorectum	1976	117.02	115.18	Joinpoint 2	NA	5	5
2	"60-85"	Colorectum	1977	109.57	112.50	NA	-2.3277*	5	5
2	"60-85"	Colorectum	1978	110.17	109.88	NA	-2.3277*	5	5
2	"60-85"	Colorectum	1979	106.82	107.32	NA	-2.3277*	5	5
2	"60-85"	Colorectum	1980	107.21	104.82	NA	-2.3277*	5	5
2	"60-85"	Colorectum	1981	101.20	102.38	Joinpoint 3	NA	5	5
2	"60-85"	Colorectum	1982	99.68	102.08	NA	-0.2924	5	5
2	"60-85"	Colorectum	1983	103.15	101.79	NA	-0.2924	5	5
2	"60-85"	Colorectum	1984	102.92	101.49	NA	-0.2924	5	5
2	"60-85"	Colorectum	1985	103.56	101.19	NA	-0.2924	5	5
2	"60-85"	Colorectum	1986	99.38	100.90	NA	-0.2924	5	5
2	"60-85"	Colorectum	1987	99.17	100.60	NA	-0.2924	5	5
2	"60-85"	Colorectum	1988	100.61	100.31	NA	-0.2924	5	5
2	"60-85"	Colorectum	1989	98.24	100.01	Joinpoint 4	NA	5	5
2	"60-85"	Colorectum	1990	95.08	96.91	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1991	94.69	93.91	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1992	94.32	91.00	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1993	87.48	88.18	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1994	86.36	85.45	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1995	82.65	82.81	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1996	80.06	80.24	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1997	78.53	77.76	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1998	74.57	75.35	NA	-3.0976*	5	5
2	"60-85"	Colorectum	1999	74.97	73.01	NA	-3.0976*	5	5
2	"60-85"	Colorectum	2000	69.06	70.75	NA	-3.0976*	5	5
2	"60-85"	Colorectum	2001	67.86	68.56	Joinpoint 5	NA	5	5
2	"60-85"	Colorectum	2002	67.96	67.51	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2003	66.49	66.49	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2004	66.44	65.47	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2005	64.86	64.47	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2006	62.74	63.49	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2007	62.99	62.52	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2008	63.10	61.57	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2009	59.02	60.63	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2010	57.85	59.71	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2011	57.78	58.80	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2012	58.49	57.90	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2013	57.58	57.02	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2014	55.49	56.15	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2015	54.85	55.29	NA	-1.5243*	5	5
2	"60-85"	Colorectum	2016	56.23	54.45	NA	-1.5243*	5	5
