"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Women	20-49	Thyroid	1	19	4	15	11.912333	0.794156	Uncorrelated	0	NA	NA	NA	-146.478970	5.968705	-24.541164	0.000000	0.076213	0.002973	25.632018	0.000000	NA	NA	NA	NA	35.625440	0.000000	162.242866	1.000000	0.000000	1.000000
Women	20-49	Thyroid	1	19	4	15	11.912333	0.794156	Uncorrelated	1	2013	2011	2014	-52.976002	12.737459	-4.159071	0.000964	0.029763	0.006316	4.712099	0.000333	-0.046450	0.006981	-6.653581	0.000011	0.000009	0.000000	0.000040	1.000000	0.000000	1.000000
Women	50+	Breast	0	19	2	17	187.850480	11.050028	Uncorrelated	0	NA	NA	NA	-25.707939	1.523605	-16.873095	0.000000	0.017977	0.000758	23.722732	0.000000	NA	NA	NA	NA	2.321373	-0.001155	0.000001	1.000000	-0.999996	1.000000
Women	50+	Colorectum	2	19	6	13	26.798329	2.061410	Uncorrelated	0	NA	NA	NA	-27.696640	2.776715	-9.974606	0.000001	0.018554	0.001384	13.401403	0.000000	NA	NA	NA	NA	7.710148	0.000000	0.000014	1.000000	0.000000	1.000000
Women	50+	Colorectum	2	19	6	13	26.798329	2.061410	Uncorrelated	1	2011	2005	2013	1.905728	7.572932	0.251650	0.805951	0.003833	0.003760	1.019456	0.329885	-0.014720	0.004007	-3.673725	0.003666	0.000002	0.000000	1084.643177	1.000000	0.000000	1.000000
Women	50+	Colorectum	2	19	6	13	26.798329	2.061410	Uncorrelated	2	2017	2010	2017	-59.926438	32.933921	-1.819596	0.096116	0.034489	0.016316	2.113809	0.058191	0.030656	0.016744	1.830878	0.094317	57.349296	0.000000	0.000266	1.000000	0.000000	1.000000
Women	50+	Endometrium	1	19	4	15	27.979894	1.865326	Uncorrelated	0	NA	NA	NA	-66.912029	3.610015	-18.535109	0.000000	0.037636	0.001799	20.917285	0.000000	NA	NA	NA	NA	13.032211	0.000000	38.196525	1.000000	0.000000	1.000000
Women	50+	Endometrium	1	19	4	15	27.979894	1.865326	Uncorrelated	1	2012	2008	2015	-28.436587	6.180334	-4.601141	0.000412	0.018513	0.003066	6.039010	0.000030	-0.019123	0.003555	-5.379856	0.000097	0.000003	0.000000	0.000009	1.000000	0.000000	1.000000
Women	50+	Gallbladder	0	19	2	17	27.333545	1.607856	Uncorrelated	0	NA	NA	NA	-83.898163	3.745957	-22.396991	0.000000	0.045080	0.001862	24.205064	0.000000	NA	NA	NA	NA	14.032193	-0.006977	0.000003	1.000000	-0.999996	1.000000
Women	50+	Kidney	1	19	4	15	38.829133	2.588609	Uncorrelated	0	NA	NA	NA	-102.931697	5.054666	-20.363700	0.000000	0.055102	0.002518	21.886879	0.000000	NA	NA	NA	NA	25.549645	0.000000	308.133956	1.000000	0.000000	1.000000
