"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
All	Women	2	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.030504	0.006101	Uncorrelated	0	NA	NA	NA	184.552695	48.936834	3.771243	0.019583	-0.093583	0.024310	-3.849505	0.018310	NA	NA	NA	NA	2394.813745	0.000000	12033.622329	1.000000	0.000000	1.000000
All	Women	2	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.030504	0.006101	Uncorrelated	1	2016	2014	2017	-355.092391	109.697868	-3.237004	0.031764	0.174098	0.054360	3.202706	0.032816	0.267681	0.059548	4.495211	0.010862	0.000591	0.000000	0.002955	1.000000	0.000000	1.000000
All	Women	3	Heavy Drinker	"alcohol_amt"	0	9	2	7	0.126917	0.018131	Uncorrelated	0	NA	NA	NA	-19.631881	35.027657	-0.560468	0.592637	0.007792	0.017383	0.448239	0.667526	NA	NA	NA	NA	1226.936790	-0.608901	0.000302	1.000000	-0.999999	1.000000
All	Women	4	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.055413	0.011083	Uncorrelated	0	NA	NA	NA	167.600200	149.607542	1.120266	0.325317	-0.085265	0.074358	-1.146690	0.315439	NA	NA	NA	NA	22382.416646	0.000000	4498.761368	1.000000	0.000000	1.000000
All	Women	4	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.055413	0.011083	Uncorrelated	1	2014	2013	2017	-121.005607	67.072806	-1.804093	0.145544	0.058035	0.033254	1.745208	0.155887	0.143300	0.081455	1.759258	0.153350	0.005529	0.000000	0.001106	1.000000	0.000000	1.000000
All	Women	5	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.032544	0.006509	Uncorrelated	0	NA	NA	NA	14.689222	53.060311	0.276840	0.795620	-0.009183	0.026359	-0.348381	0.745117	NA	NA	NA	NA	2815.396590	0.000000	14146.995497	1.000000	0.000000	1.000000
All	Women	5	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.032544	0.006509	Uncorrelated	1	2016	2014	2017	299.902262	118.941143	2.521434	0.065257	-0.150658	0.058940	-2.556114	0.062896	-0.141475	0.064566	-2.191176	0.093569	0.000695	0.000000	0.003474	1.000000	0.000000	1.000000
All	Men	1	Light Drinker	"alcohol_amt"	1	9	4	5	0.000431	0.000086	Uncorrelated	0	NA	NA	NA	-40.639752	3.588645	-11.324539	0.000347	0.019814	0.001782	11.117327	0.000372	NA	NA	NA	NA	12.878374	0.000000	452.984193	1.000000	0.000000	1.000000
All	Men	1	Light Drinker	"alcohol_amt"	1	9	4	5	0.000431	0.000086	Uncorrelated	1	2017	2015	2017	41.490464	21.283425	1.949426	0.123038	-0.020905	0.010544	-1.982580	0.118451	-0.040719	0.010694	-3.807738	0.018977	0.000003	0.000000	0.000111	1.000000	0.000000	1.000000
All	Men	2	Light Drinker	"alcohol_amt"	1	9	4	5	0.001197	0.000239	Uncorrelated	0	NA	NA	NA	-39.303732	11.006913	-3.570822	0.023359	0.019147	0.005468	3.501706	0.024858	NA	NA	NA	NA	121.152140	0.000000	608.773479	1.000000	0.000000	1.000000
All	Men	2	Light Drinker	"alcohol_amt"	1	9	4	5	0.001197	0.000239	Uncorrelated	1	2016	2013	2017	21.881188	24.673335	0.886835	0.425271	-0.011203	0.012227	-0.916249	0.411378	-0.030350	0.013394	-2.265983	0.086109	0.000030	0.000000	0.000149	1.000000	0.000000	1.000000
All	Men	3	Light Drinker	"alcohol_amt"	0	9	2	7	0.001170	0.000167	Uncorrelated	0	NA	NA	NA	-8.509247	3.362627	-2.530536	0.039202	0.003857	0.001669	2.311438	0.054072	NA	NA	NA	NA	11.307257	-0.005612	0.000003	1.000000	-0.999999	1.000000
All	Men	4	Light Drinker	"alcohol_amt"	0	9	2	7	0.001385	0.000198	Uncorrelated	0	NA	NA	NA	-19.244068	3.659617	-5.258493	0.001175	0.009178	0.001816	5.053507	0.001474	NA	NA	NA	NA	13.392794	-0.006647	0.000003	1.000000	-0.999999	1.000000
All	Men	5	Light Drinker	"alcohol_amt"	1	9	4	5	0.001542	0.000308	Uncorrelated	0	NA	NA	NA	-48.898300	9.178380	-5.327552	0.005975	0.023851	0.004558	5.232319	0.006374	NA	NA	NA	NA	84.242665	0.000000	2963.153116	1.000000	0.000000	1.000000
All	Men	5	Light Drinker	"alcohol_amt"	1	9	4	5	0.001542	0.000308	Uncorrelated	1	2017	2014	2017	25.196797	54.434852	0.462880	0.667512	-0.012884	0.026968	-0.477759	0.657758	-0.036735	0.027351	-1.343130	0.250375	0.000021	0.000000	0.000727	1.000000	0.000000	1.000000
All	Women	1	Light Drinker	"alcohol_amt"	0	9	2	7	0.001019	0.000146	Uncorrelated	0	NA	NA	NA	-1.781502	3.138075	-0.567705	0.587972	0.000647	0.001557	0.415624	0.690130	NA	NA	NA	NA	9.847513	-0.004887	0.000002	1.000000	-0.999999	1.000000
All	Women	2	Light Drinker	"alcohol_amt"	1	9	4	5	0.000259	0.000052	Uncorrelated	0	NA	NA	NA	-25.821084	4.246468	-6.080603	0.003697	0.012581	0.002110	5.964079	0.003969	NA	NA	NA	NA	18.032489	0.000000	90.610872	1.000000	0.000000	1.000000
All	Women	2	Light Drinker	"alcohol_amt"	1	9	4	5	0.000259	0.000052	Uncorrelated	1	2016	2015	2017	15.009352	9.518974	1.576782	0.189977	-0.007672	0.004717	-1.626412	0.179190	-0.020253	0.005167	-3.919529	0.017255	0.000004	0.000000	0.000022	1.000000	0.000000	1.000000
