"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Women	5	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0007998	      -8.3518444	      -8.1077083	       0.7604076	      -8.1662015
All	Men	1	Healthy Weight	"bmi"	1	0	19	2	17	       0.0124822	      -7.0179519	      -7.0179519	       0.0000000	      -7.0179519
All	Men	1	Healthy Weight	"bmi"	2	1	19	4	15	       0.0069716	      -7.2904702	      -7.1354997	       0.4414769	      -7.2220543
All	Men	1	Healthy Weight	"bmi"	3	2	19	6	13	       0.0025610	      -7.9819590	      -7.6720181	       0.8051432	      -7.7324122
All	Men	1	Healthy Weight	"bmi"	4	3	19	8	11	       0.0017971	      -8.0262601	      -7.5613487	       0.8616588	      -7.6256651
All	Men	2	Healthy Weight	"bmi"	1	0	19	2	17	       0.0232662	      -6.3952514	      -6.3952514	       0.0000000	      -6.3952514
All	Men	2	Healthy Weight	"bmi"	2	1	19	4	15	       0.0083924	      -7.1049839	      -6.9500134	       0.6392873	      -7.0059132
All	Men	2	Healthy Weight	"bmi"	3	2	19	6	13	       0.0050309	      -7.3067811	      -6.9968402	       0.7773125	      -7.0658601
All	Men	2	Healthy Weight	"bmi"	4	3	19	8	11	       0.0036622	      -7.3143678	      -6.8494564	       0.7272346	      -6.9762682
All	Men	3	Healthy Weight	"bmi"	1	0	19	2	17	       0.0355521	      -5.9712531	      -5.9712531	       0.0000000	      -5.9712531
All	Men	3	Healthy Weight	"bmi"	2	1	19	4	15	       0.0153329	      -6.5023130	      -6.3473425	       0.5687213	      -6.4141780
All	Men	3	Healthy Weight	"bmi"	3	2	19	6	13	       0.0063240	      -7.0780170	      -6.7680760	       0.9868418	      -6.7721543
All	Men	3	Healthy Weight	"bmi"	4	3	19	8	11	       0.0015752	      -8.1580559	      -7.6931445	       0.9868418	      -7.6992619
All	Men	4	Healthy Weight	"bmi"	1	0	19	2	17	       0.0422149	      -5.7994789	      -5.7994789	       0.0000000	      -5.7994789
All	Men	4	Healthy Weight	"bmi"	2	1	19	4	15	       0.0095782	      -6.9728179	      -6.8178475	       0.7731077	      -6.8530091
All	Men	4	Healthy Weight	"bmi"	3	2	19	6	13	       0.0066685	      -7.0249777	      -6.7150368	       0.7932651	      -6.7791124
All	Men	4	Healthy Weight	"bmi"	4	3	19	8	11	       0.0054651	      -6.9140521	      -6.4491407	       0.7750816	      -6.5537078
All	Men	5	Healthy Weight	"bmi"	1	0	19	2	17	       0.0470462	      -5.6911224	      -5.6911224	       0.0000000	      -5.6911224
All	Men	5	Healthy Weight	"bmi"	2	1	19	4	15	       0.0256574	      -5.9874814	      -5.8325109	       0.4546350	      -5.9170264
All	Men	5	Healthy Weight	"bmi"	3	2	19	6	13	       0.0202794	      -5.9127640	      -5.6028230	       0.2879118	      -5.8235283
All	Men	5	Healthy Weight	"bmi"	4	3	19	8	11	       0.0117221	      -6.1509547	      -5.6860433	       0.7936539	      -5.7819760
All	Women	1	Healthy Weight	"bmi"	1	0	19	2	17	       0.0102299	      -7.2169404	      -7.2169404	       0.0000000	      -7.2169404
All	Women	1	Healthy Weight	"bmi"	2	1	19	4	15	       0.0053628	      -7.5528297	      -7.3978592	       0.4757729	      -7.4790990
All	Women	1	Healthy Weight	"bmi"	3	2	19	6	13	       0.0015534	      -8.4819195	      -8.1719786	       0.8570459	      -8.2162859
All	Women	1	Healthy Weight	"bmi"	4	3	19	8	11	       0.0011382	      -8.4829883	      -8.0180769	       0.8435283	      -8.0908223
All	Women	2	Healthy Weight	"bmi"	1	0	19	2	17	       0.0342391	      -6.0088861	      -6.0088861	       0.0000000	      -6.0088861
All	Women	2	Healthy Weight	"bmi"	2	1	19	4	15	       0.0171821	      -6.3884416	      -6.2334711	       0.4981713	      -6.3112397
All	Women	2	Healthy Weight	"bmi"	3	2	19	6	13	       0.0025756	      -7.9763023	      -7.6663614	       0.9719065	      -7.6750687
All	Women	2	Healthy Weight	"bmi"	4	3	19	8	11	       0.0018417	      -8.0017235	      -7.5368121	       0.9719065	      -7.5498730
All	Women	3	Healthy Weight	"bmi"	1	0	19	2	17	       0.0094563	      -7.2955768	      -7.2955768	       0.0000000	      -7.2955768
All	Women	3	Healthy Weight	"bmi"	2	1	19	4	15	       0.0038520	      -7.8837293	      -7.7287588	       0.5926545	      -7.7918854
