"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50-64	Gallbladder	2	1	19	4	15	       0.1614779	      -4.1479443	      -3.9929738	       0.2722835	      -4.1057484
Men	50-64	Gallbladder	3	2	19	6	13	       0.0988627	      -4.3286393	      -4.0186983	       0.5301351	      -4.1643287
Men	50-64	Gallbladder	4	3	19	8	11	       0.0839944	      -4.1816803	      -3.7167689	       0.6132712	      -3.8965635
Men	50-64	Hodgkin Lymphoma	1	0	19	2	17	       0.1076790	      -4.8630990	      -4.8630990	       0.0000000	      -4.8630990
Men	50-64	Hodgkin Lymphoma	2	1	19	4	15	       0.0913920	      -4.7171548	      -4.5621843	       0.1512552	      -4.6937147
Men	50-64	Hodgkin Lymphoma	3	2	19	6	13	       0.0736918	      -4.6224805	      -4.3125395	       0.7534492	      -4.3889557
Men	50-64	Hodgkin Lymphoma	4	3	19	8	11	       0.0645802	      -4.4445232	      -3.9796118	       0.7534492	      -4.0942361
Men	50-64	Kidney	1	0	19	2	17	       0.0190284	      -6.5963229	      -6.5963229	       0.0000000	      -6.5963229
Men	50-64	Kidney	2	1	19	4	15	       0.0070470	      -7.2797034	      -7.1247329	       0.6296555	      -7.1821254
Men	50-64	Kidney	3	2	19	6	13	       0.0060112	      -7.1287405	      -6.8187996	       0.5035332	      -6.9726749
Men	50-64	Kidney	4	3	19	8	11	       0.0055661	      -6.8957369	      -6.4308255	       0.5035332	      -6.6616386
Men	50-64	Larynx	1	0	19	2	17	       0.0549079	      -5.5365955	      -5.5365955	       0.0000000	      -5.5365955
Men	50-64	Larynx	2	1	19	4	15	       0.0271622	      -5.9304867	      -5.7755162	       0.5053141	      -5.8521779
Men	50-64	Larynx	3	2	19	6	13	       0.0241571	      -5.7377941	      -5.4278532	       0.6671661	      -5.5310121
Men	50-64	Larynx	4	3	19	8	11	       0.0195919	      -5.6373123	      -5.1724009	       0.9840344	      -5.1798235
Men	50-64	Leukaemia	1	0	19	2	17	       0.0855078	      -5.0936454	      -5.0936454	       0.0000000	      -5.0936454
Men	50-64	Leukaemia	2	1	19	4	15	       0.0210647	      -6.1847132	      -6.0297428	       0.7536517	      -6.0679195
Men	50-64	Leukaemia	3	2	19	6	13	       0.0152742	      -6.1962068	      -5.8862659	       0.8443929	      -5.9344949
Men	50-64	Leukaemia	4	3	19	8	11	       0.0132944	      -6.0250841	      -5.5601727	       0.8456859	      -5.6319151
Men	50-64	Liver	1	0	19	2	17	       0.1457472	      -4.5603794	      -4.5603794	       0.0000000	      -4.5603794
Men	50-64	Liver	2	1	19	4	15	       0.0398370	      -5.5475172	      -5.3925467	       0.7266709	      -5.4349046
Men	50-64	Liver	3	2	19	6	13	       0.0360495	      -5.3374783	      -5.0275373	       0.7388362	      -5.1084827
Men	50-64	Liver	4	3	19	8	11	       0.0273644	      -5.3031887	      -4.8382773	       0.7051491	      -4.9753568
Men	50-64	Lung	1	0	19	2	17	       0.0130113	      -6.9764368	      -6.9764368	       0.0000000	      -6.9764368
Men	50-64	Lung	2	1	19	4	15	       0.0034027	      -8.0077555	      -7.8527850	       0.7384842	      -7.8933123
Men	50-64	Lung	3	2	19	6	13	       0.0030258	      -7.8151854	      -7.5052444	       0.7122675	      -7.5944245
Men	50-64	Lung	4	3	19	8	11	       0.0022946	      -7.7818615	      -7.3169501	       0.7122675	      -7.4507202
Men	50-64	Melanoma	1	0	19	2	17	       0.0750138	      -5.2245811	      -5.2245811	       0.0000000	      -5.2245811
Men	50-64	Melanoma	2	1	19	4	15	       0.0145836	      -6.5524157	      -6.3974452	       0.8055880	      -6.4275734
