"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50+	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0033570	      -7.7113195	      -7.4013786	       0.8981950	      -7.4329321
Men	50+	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0030020	      -7.5131491	      -7.0482377	       0.9083924	      -7.0908271
Men	50+	Oesophagus	1	0	19	2	17	       0.0079679	      -7.4668318	      -7.4668318	       0.0000000	      -7.4668318
Men	50+	Oesophagus	2	1	19	4	15	       0.0033963	      -8.0096372	      -7.8546667	       0.5737575	      -7.9207217
Men	50+	Oesophagus	3	2	19	6	13	       0.0029328	      -7.8464187	      -7.5364778	       0.4517591	      -7.7064001
Men	50+	Oesophagus	4	3	19	8	11	       0.0027132	      -7.6142880	      -7.1493766	       0.4352659	      -7.4119279
Men	50+	Oral	1	0	19	2	17	       0.0239580	      -6.3659493	      -6.3659493	       0.0000000	      -6.3659493
Men	50+	Oral	2	1	19	4	15	       0.0143324	      -6.5697863	      -6.4148158	       0.4017688	      -6.5075240
Men	50+	Oral	3	2	19	6	13	       0.0120206	      -6.4357506	      -6.1258097	       0.5609001	      -6.2619047
Men	50+	Oral	4	3	19	8	11	       0.0111654	      -6.1996140	      -5.7347025	       0.5674696	      -5.9357908
Men	50+	Pancreas	1	0	19	2	17	       0.0056689	      -7.8072555	      -7.8072555	       0.0000000	      -7.8072555
Men	50+	Pancreas	2	1	19	4	15	       0.0046435	      -7.6968475	      -7.5418771	       0.1808869	      -7.6688154
Men	50+	Pancreas	3	2	19	6	13	       0.0045700	      -7.4028527	      -7.0929118	       0.2543808	      -7.3240097
Men	50+	Pancreas	4	3	19	8	11	       0.0043966	      -7.1315928	      -6.6666814	       0.8294347	      -6.7459792
Men	50+	Prostate	1	0	19	2	17	       0.0237594	      -6.3742757	      -6.3742757	       0.0000000	      -6.3742757
Men	50+	Prostate	2	1	19	4	15	       0.0226071	      -6.1140465	      -5.9590760	       0.0484964	      -6.1065310
Men	50+	Prostate	3	2	19	6	13	       0.0157564	      -6.1651257	      -5.8551848	       0.4636836	      -6.0214112
Men	50+	Prostate	4	3	19	8	11	       0.0151517	      -5.8943190	      -5.4294076	       0.4350801	      -5.6920453
Men	50+	Stomach	1	0	19	2	17	       0.0143893	      -6.8757677	      -6.8757677	       0.0000000	      -6.8757677
Men	50+	Stomach	2	1	19	4	15	       0.0103978	      -6.8907140	      -6.7357435	       0.2773912	      -6.8477265
Men	50+	Stomach	3	2	19	6	13	       0.0092381	      -6.6990322	      -6.3890913	       0.4640804	      -6.5551947
Men	50+	Stomach	4	3	19	8	11	       0.0066792	      -6.7134304	      -6.2485190	       0.5752819	      -6.4459753
Men	50+	Testis	1	0	19	2	17	       0.1129463	      -4.8153411	      -4.8153411	       0.0000000	      -4.8153411
Men	50+	Testis	2	1	19	4	15	       0.0812511	      -4.8347677	      -4.6797972	       0.2806214	      -4.7912797
Men	50+	Testis	3	2	19	6	13	       0.0529101	      -4.9537772	      -4.6438362	       0.6488857	      -4.7526610
Men	50+	Testis	4	3	19	8	11	       0.0497889	      -4.7046378	      -4.2397263	       0.6039698	      -4.4238453
